observation_id,Benchmark,doi,Dataset,DatasetNumber,DatasetType,DatasetOrigin,run,ToolReported,Tool,tool_family,tool_version,TP,FP,TP_plus_FP,TruthTotal,Recall,Precision,F1,FN_reported,FN_recalculated,precision_recalculated,recall_recalculated,f1_recalculated,execution_time_h,memory_usage,time_ranking_in_set,Read_length,number_of_reads,has_f1,has_precision_recall,Is_Edgren,source_file,source_sheet,Benchmark_purpose,new_tool,FN,Is_Edgren_Binary
OBS0035,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,deFuse,deFuse,deFuse,,2064.0,78.0,,2500.0,0.83,0.96,0.8902793296089385,,436.0,0.9635854341736695,0.8256,0.8892718655751831,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",436.0,no
OBS0036,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,STARChip,STARChip,STARChip,,2004.0,10.0,,2500.0,0.8,1.0,0.888888888888889,,496.0,0.9950347567030785,0.8016,0.8879042977403633,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",496.0,no
OBS0037,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,MapSplice,MapSplice,MapSplice,,1967.0,6.0,,2500.0,0.79,1.0,0.8826815642458101,,533.0,0.9969589457678661,0.7868,0.8794992175273866,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",533.0,no
OBS0038,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,TrinityFusion-C,TrinityFusion-C,TrinityFusion,,1963.0,12.0,,2500.0,0.79,0.99,0.8787640449438202,,537.0,0.9939240506329113,0.7852,0.8773184357541899,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",537.0,no
OBS0039,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,ChimPipe,ChimPipe,ChimPipe,,1953.0,5.0,,2500.0,0.78,1.0,0.8764044943820225,,547.0,0.9974463738508682,0.7812,0.8761776581426649,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",547.0,no
OBS0040,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,TrinityFusion-UC,TrinityFusion-UC,TrinityFusion,,1892.0,11.0,,2500.0,0.76,0.99,0.8598857142857143,,608.0,0.9942196531791907,0.7568,0.8594140358846242,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",608.0,no
OBS0041,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,ChimeraScan,ChimeraScan,ChimeraScan,,2094.0,342.0,,2500.0,0.84,0.86,0.8498823529411764,,406.0,0.8596059113300493,0.8376,0.8484602917341978,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",406.0,no
OBS0042,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,JAFFA-Hybrid,JAFFA-Hybrid,JAFFA,,1831.0,54.0,,2500.0,0.73,0.97,0.8330588235294117,,669.0,0.9713527851458886,0.7324,0.8351197263397948,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",669.0,no
OBS0043,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,SOAPfuse,SOAPfuse,SOAPfuse,,1769.0,21.0,,2500.0,0.71,0.99,0.8269411764705882,,731.0,0.988268156424581,0.7076,0.8247086247086247,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",731.0,no
OBS0044,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,EricScript,EricScript,EricScript,,1791.0,201.0,,2500.0,0.72,0.9,0.7999999999999999,,709.0,0.8990963855421686,0.7164,0.7974176313446126,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",709.0,no
OBS0045,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,PRADA,PRADA,PRADA,,1643.0,2.0,,2500.0,0.66,1.0,0.7951807228915663,,857.0,0.9987841945288753,0.6572,0.7927623642943306,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",857.0,no
OBS0046,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,JAFFA-Assembly,JAFFA-Assembly,JAFFA,,1620.0,228.0,,2500.0,0.65,0.88,0.7477124183006537,,880.0,0.8766233766233766,0.648,0.7451701931922723,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",880.0,no
OBS0047,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,TrinityFusion-D,TrinityFusion-D,TrinityFusion,,1097.0,12.0,,2500.0,0.44,0.99,0.6092307692307692,,1403.0,0.9891794409377818,0.4388,0.6079246328622888,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",1403.0,no
OBS0048,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,FusionHunter,FusionHunter,FusionHunter,,1091.0,17.0,,2500.0,0.44,0.98,0.6073239436619718,,1409.0,0.9846570397111913,0.4364,0.6047671840354767,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",1409.0,no
OBS0076,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.1,2.1,simulated,Simulated,,Arriba,Arriba,Arriba,v1.00,90.0,7.0,97.0,150.0,0.6,0.9278350515463918,0.7287449392712552,,60.0,0.9278350515463918,0.6,0.7287449392712552,1.0,38.0,1.0,75,40000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, Arriba",60.0,no
OBS0077,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.1,2.1,simulated,Simulated,,STAR-Fusion,STAR-Fusion,STAR-Fusion,v1.4.0,52.0,13.0,65.0,150.0,0.3466666666666667,0.8,0.4837209302325582,,98.0,0.8,0.3466666666666667,0.4837209302325582,2.0,38.0,2.0,75,40000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, Arriba",98.0,no
OBS0080,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.1,2.1,simulated,Simulated,,InFusion,InFusion,InFusion,v0.8,20.0,17.0,37.0,150.0,0.1333333333333333,0.5405405405405406,0.213903743315508,,130.0,0.5405405405405406,0.13333333333333333,0.213903743315508,14.0,5.0,5.0,75,40000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, Arriba",130.0,no
OBS0081,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.1,2.1,simulated,Simulated,,SOAPfuse,SOAPfuse,SOAPfuse,v1.27,56.0,12.0,68.0,150.0,0.3733333333333333,0.8235294117647058,0.5137614678899083,,94.0,0.8235294117647058,0.37333333333333335,0.5137614678899083,17.0,7.0,6.0,75,40000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, Arriba",94.0,no
OBS0090,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.3,2.3,real,Real,run 5,Arriba,Arriba,Arriba,v1.00,78.0,80.0,158.0,80.0,0.975,0.4936708860759494,0.6554621848739496,,2.0,0.4936708860759494,0.975,0.6554621848739496,1.0,39.0,1.0,100,297000000.0,True,True,True,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, Arriba",2.0,yes
