Benchmark,Doi,Dataset,Type_of_dataset,Read_lenght,Number_of_reads,Tool,Recall_Sensitivity,Precision,F1,DatasetType,DatasetID,Is_Edgren,Is_real,Is_simulated
1,doi.org/10.1186/s13059-019-1842-9,Dataset1.3,real,,,JAFFA-Hybrid,0.59,0.2,0.3,real,1.3,False,True,False
1,doi.org/10.1186/s13059-019-1842-9,Dataset1.3,real,,,MapSplice,0.64,0.53,0.58,real,1.3,False,True,False
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.1,simulated,50.0,30000000.0,MapSplice,0.73,1.0,0.84,simulated,1.1,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.2,simulated,50.0,64000000.0,MapSplice,0.63,0.99,0.77,simulated,7.2,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.1,simulated,75.0,307920.0,MapSplice,0.38,0.9,0.54,simulated,7.1,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.3,simulated,76.0,42000000.0,MapSplice,0.65,0.99,0.78,simulated,7.3,False,False,True
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.2,simulated,101.0,30000000.0,MapSplice,0.79,1.0,0.88,simulated,1.2,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.4,simulated,101.0,31500000.0,MapSplice,0.61,0.99,0.75,simulated,7.4,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.5,real,101.0,65000000.0,MapSplice,0.05,0.13,0.07,real,7.5,False,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,real,50.0,21500000.0,MapSplice,0.63,0.44,0.52,real,7.6,True,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,real,50.0,21500000.0,MapSplice,0.21,0.54,0.3,real,7.7,True,True,False
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.1,simulated,50.0,30000000.0,MetaFusion,0.836,0.927,0.879,simulated,8.1,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.2,simulated,101.0,30000000.0,MetaFusion,0.956,0.942,0.949,simulated,8.2,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.6,simulated,101.0,65000000.0,MetaFusion,0.934,0.826,0.877,simulated,8.6,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.3,real,,,MetaFusion,0.792,0.532,0.636,real,8.3,True,True,False
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.4,real,,,MetaFusion,1.0,0.395,0.566,real,8.4,False,True,False
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.7,real,,,MetaFusion,1.0,0.923,0.96,real,8.7,False,True,False
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.1,simulated,50.0,30000000.0,MetaFusion.top_3,0.796,0.957,0.869,simulated,8.1,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.2,simulated,101.0,30000000.0,MetaFusion.top_3,0.933,0.964,0.948,simulated,8.2,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.6,simulated,101.0,65000000.0,MetaFusion.top_3,0.918,0.949,0.933,simulated,8.6,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.3,real,,,MetaFusion.top_3,0.755,0.597,0.667,real,8.3,True,True,False
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.4,real,,,MetaFusion.top_3,0.941,0.615,0.744,real,8.4,False,True,False
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.7,real,,,MetaFusion.top_3,1.0,0.923,0.96,real,8.7,False,True,False
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.1,simulated,50.0,30000000.0,nFuse,0.83,0.97,0.89,simulated,1.1,False,False,True
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.2,simulated,101.0,30000000.0,nFuse,0.87,0.96,0.91,simulated,1.2,False,False,True
9,https://doi.org/10.1101%2Fgr.186114.114,Dataset9,real,,,nFuse,0.33,0.44,0.377142857,real,9,False,True,False
1,doi.org/10.1186/s13059-019-1842-9,Dataset1.3,real,,,nFuse,0.46,0.15,0.22,real,1.3,False,True,False
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.1,simulated,50.0,30000000.0,Pizzly,0.84,0.95,0.89,simulated,1.1,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.2,simulated,50.0,64000000.0,Pizzly,0.78,0.73,0.76,simulated,7.2,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.1,simulated,75.0,307920.0,Pizzly,0.54,0.88,0.67,simulated,7.1,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.3,simulated,76.0,42000000.0,Pizzly,0.79,0.74,0.77,simulated,7.3,False,False,True
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.2,simulated,101.0,30000000.0,Pizzly,0.91,0.95,0.93,simulated,1.2,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.5,real,101.0,65000000.0,Pizzly,0.32,0.02,0.04,real,7.5,False,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,real,50.0,21500000.0,Pizzly,0.74,0.02,0.04,real,7.6,True,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.4,simulated,101.0,31500000.0,Pizzly,0.79,0.77,0.78,simulated,7.4,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,real,50.0,21500000.0,Pizzly,0.41,0.04,0.07,real,7.7,True,True,False
1,doi.org/10.1186/s13059-019-1842-9,Dataset1.3,real,,,Pizzly,0.48,0.44,0.46,real,1.3,False,True,False
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.1,simulated,50.0,30000000.0,PRADA,0.56,1.0,0.72,simulated,1.1,False,False,True
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.2,simulated,101.0,30000000.0,PRADA,0.66,1.0,0.8,simulated,1.2,False,False,True
1,doi.org/10.1186/s13059-019-1842-9,Dataset1.3,real,,,PRADA,0.38,0.9,0.54,real,1.3,False,True,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.2,spike-in,101.0,154000000.0,PRADA,0.0,0.0,,spike-in,2.2,False,False,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.3,real (cells),101.0,297000000.0,PRADA,0.0,0.0,,real (cells),2.3,True,True,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.1,simulated,75.0,40000000.0,PRADA,0.0,0.0,,simulated,2.1,False,False,True
9,https://doi.org/10.1101%2Fgr.186114.114,Dataset9,real,,,pyPRADA,0.1,1.0,0.181818182,real,9,False,True,False
1,doi.org/10.1186/s13059-019-1842-9,Dataset1.3,real,,,SOAPfuse,0.5,0.81,0.62,real,1.3,False,True,False
6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.1,real,50.0,28000000.0,SOAPfuse,0.89,0.39,0.55,real,6.1,True,True,False
6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.2,real,50.0,28000000.0,SOAPfuse,0.41,0.67,0.51,real,6.2,True,True,False
6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.3,real,50.0,12000000.0,SOAPfuse,0.91,0.09,0.17,real,6.3,False,True,False
6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.4,real,101.0,25000000.0,SOAPfuse,0.71,0.07,0.13,real,6.4,False,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.5,real,101.0,65000000.0,SOAPfuse,0.68,0.58,0.62,real,7.5,False,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,real,50.0,21500000.0,SOAPfuse,0.74,0.17,0.28,real,7.6,True,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,real,50.0,21500000.0,SOAPfuse,0.36,0.3,0.33,real,7.7,True,True,False
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.1,simulated,50.0,30000000.0,SOAPfuse,0.69,0.99,0.81,simulated,1.1,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.2,simulated,50.0,64000000.0,SOAPfuse,0.82,0.81,0.81,simulated,7.2,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.1,simulated,75.0,307920.0,SOAPfuse,0.74,0.85,0.79,simulated,7.1,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.3,simulated,76.0,42000000.0,SOAPfuse,0.81,0.81,0.81,simulated,7.3,False,False,True
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.1,simulated,75.0,40000000.0,SOAPfuse,0.37,0.82,0.5099159663865547,simulated,2.1,False,False,True
10,https://doi.org/10.1186/s13073-015-0167-x,Dataset10,simulated,,,SOAPfuse,0.74,0.973684211,0.840909091,simulated,10,False,False,True
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.2,simulated,101.0,30000000.0,SOAPfuse,0.71,0.99,0.83,simulated,1.2,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.4,simulated,101.0,31500000.0,SOAPfuse,0.8,0.82,0.81,simulated,7.4,False,False,True
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.2,spike-in,101.0,154000000.0,SOAPfuse,0.4,0.24,0.3,spike-in,2.2,False,False,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.3,real (cells),101.0,297000000.0,SOAPfuse,0.55,0.14,0.22318840579710147,real (cells),2.3,True,True,False
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.3,real,,,STAR-Fusion,0.84,0.79,0.81,real,1.3,False,True,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.2,spike-in,101.0,154000000.0,STAR-Fusion,0.35,1.0,0.25925925925925924,spike-in,2.2,False,False,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.3,real (cells),101.0,297000000.0,STAR-Fusion,0.48,0.79,0.2985826771653543,real (cells),2.3,True,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.5,real,101.0,65000000.0,STAR-Fusion,0.08,0.17,0.11,real,7.5,False,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,real,50.0,21500000.0,STAR-Fusion,0.82,0.3,0.44,real,7.6,True,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,real,50.0,21500000.0,STAR-Fusion,0.41,0.55,0.47,real,7.7,True,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.2,simulated,50.0,64000000.0,STAR-Fusion,0.69,0.72,0.7,simulated,7.2,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.1,simulated,50.0,30000000.0,STAR-Fusion,0.772,0.943,0.849,simulated,8.1,False,False,True
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.1,simulated,50.0,30000000.0,STAR-Fusion,0.84,0.98,0.9,simulated,1.1,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.1,simulated,75.0,307920.0,STAR-Fusion,0.79,0.86,0.83,simulated,7.1,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.3,simulated,76.0,42000000.0,STAR-Fusion,0.7,0.69,0.69,simulated,7.3,False,False,True
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.1,simulated,75.0,40000000.0,STAR-Fusion,0.35,0.8,0.2434782608695652,simulated,2.1,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.3,real,,,STAR-Fusion,0.774,0.569,0.656,real,8.3,True,True,False
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.4,real,,,STAR-Fusion,0.588,0.213,0.313,real,8.4,False,True,False
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.7,real,,,STAR-Fusion,0.917,0.786,0.846,real,8.7,False,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.4,simulated,101.0,31500000.0,STAR-Fusion,0.68,0.67,0.67,simulated,7.4,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.2,simulated,101.0,30000000.0,STAR-Fusion,0.9,0.93,0.915,simulated,8.2,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.6,simulated,101.0,65000000.0,STAR-Fusion,0.82,0.82,0.82,simulated,8.6,False,False,True
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.2,simulated,101.0,30000000.0,STAR-Fusion,0.92,0.98,0.95,simulated,1.2,False,False,True
1,doi.org/10.1186/s13059-019-1842-9,Dataset1.3,real,,,STAR-SEQR,0.88,0.59,0.7,real,1.3,False,True,False
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.1,simulated,50.0,30000000.0,STAR-SEQR,0.89,1.0,0.94,simulated,1.1,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.1,simulated,50.0,30000000.0,STAR-SEQR,0.781,0.865,0.821,simulated,8.1,False,False,True
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.2,simulated,101.0,30000000.0,STAR-SEQR,0.94,1.0,0.97,simulated,1.2,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.2,simulated,101.0,30000000.0,STAR-SEQR,0.935,0.884,0.909,simulated,8.2,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.6,simulated,101.0,65000000.0,STAR-SEQR,0.934,0.633,0.755,simulated,8.6,False,False,True
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.3,real,,,STAR-SEQR,0.736,0.247,0.37,real,8.3,True,True,False
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.4,real,,,STAR-SEQR,0.824,0.135,0.232,real,8.4,False,True,False
8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.7,real,,,STAR-SEQR,1.0,0.8,0.889,real,8.7,False,True,False
1,doi.org/10.1186/s13059-019-1842-9,Dataset1.3,real,,,STARChip,0.47,0.74,0.57,real,1.3,False,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.1,simulated,75.0,307920.0,STARChip,0.27,0.26,0.26,simulated,7.1,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.3,simulated,76.0,42000000.0,STARChip,0.17,0.36,0.23,simulated,7.3,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.5,real,101.0,65000000.0,STARChip,0.0,0.0,0.0,real,7.5,False,True,False
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.1,simulated,50.0,30000000.0,STARChip,0.73,0.99,0.84,simulated,1.1,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,real,50.0,21500000.0,STARChip,0.22,0.07,0.11,real,7.6,True,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,real,50.0,21500000.0,STARChip,0.08,0.09,0.09,real,7.7,True,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.2,simulated,50.0,64000000.0,STARChip,0.0,0.33,0.01,simulated,7.2,False,False,True
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.2,simulated,101.0,30000000.0,STARChip,0.8,1.0,0.89,simulated,1.2,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.4,simulated,101.0,31500000.0,STARChip,0.17,0.3,0.22,simulated,7.4,False,False,True
6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.1,real,50.0,28000000.0,TopHat-Fusion,0.89,0.09,0.17,real,6.1,True,True,False
6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.2,real,50.0,28000000.0,TopHat-Fusion,0.35,0.13,0.19,real,6.2,True,True,False
6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.3,real,50.0,12000000.0,TopHat-Fusion,0.36,0.14,0.2,real,6.3,False,True,False
6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.4,real,101.0,25000000.0,TopHat-Fusion,0.94,0.09,0.17,real,6.4,False,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.5,real,101.0,65000000.0,TopHat-Fusion,0.02,0.2,0.03,real,7.5,False,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.6,real,50.0,21500000.0,TopHat-Fusion,0.44,0.3,0.36,real,7.6,True,True,False
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,real,50.0,21500000.0,TopHat-Fusion,0.15,0.38,0.22,real,7.7,True,True,False
10,https://doi.org/10.1186/s13073-015-0167-x,Dataset10,simulated,,,TopHat-Fusion,0.54,1.0,0.701298701,simulated,10,False,False,True
9,https://doi.org/10.1101%2Fgr.186114.114,Dataset9,real,,,TopHat-Fusion,0.1,1.0,0.181818182,real,9,False,True,False
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.1,simulated,50.0,30000000.0,TopHat-Fusion,0.81,0.99,0.89,simulated,1.1,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.2,simulated,50.0,64000000.0,TopHat-Fusion,0.41,0.55,0.47,simulated,7.2,False,False,True
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.2,simulated,101.0,30000000.0,TopHat-Fusion,0.85,0.99,0.91,simulated,1.2,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.4,simulated,101.0,31500000.0,TopHat-Fusion,0.27,0.57,0.37,simulated,7.4,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.1,simulated,75.0,307920.0,TopHat-Fusion,0.4,0.63,0.49,simulated,7.1,False,False,True
7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.3,simulated,76.0,42000000.0,TopHat-Fusion,0.36,0.56,0.44,simulated,7.3,False,False,True
1,doi.org/10.1186/s13059-019-1842-9,Dataset1.3,real,,,TopHat-Fusion,0.65,0.45,0.53,real,1.3,False,True,False
5,DOI:10.1038/s41598-017-07070-6 ,Dataset5.1,real,,,TopHat-Fusion,0.81,0.45,0.58,real,5.1,True,True,False
5,DOI:10.1038/s41598-017-07070-6 ,Dataset5.3,simulated,76.0,24000000.0,TopHat-Fusion,0.83,0.41,0.55,simulated,5.3,False,False,True
1,doi.org/10.1186/s13059-019-1842-9,Dataset1.3,real,,,TrinityFusion-C,0.56,0.94,0.7,real,1.3,False,True,False
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.1,simulated,50.0,30000000.0,TrinityFusion-C,0.72,0.99,0.83,simulated,1.1,False,False,True
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.2,simulated,101.0,30000000.0,TrinityFusion-C,0.79,0.99,0.88,simulated,1.2,False,False,True
1,doi.org/10.1186/s13059-019-1842-9,Dataset1.3,real,,,TrinityFusion-D,0.44,0.9,0.59,real,1.3,False,True,False
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.1,simulated,50.0,30000000.0,TrinityFusion-D,0.4,0.99,0.57,simulated,1.1,False,False,True
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.2,simulated,101.0,30000000.0,TrinityFusion-D,0.44,0.99,0.61,simulated,1.2,False,False,True
1,doi.org/10.1186/s13059-019-1842-9,Dataset1.3,real,,,TrinityFusion-UC,0.53,0.89,0.67,real,1.3,False,True,False
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.1,simulated,50.0,30000000.0,TrinityFusion-UC,0.66,1.0,0.8,simulated,1.1,False,False,True
1,doi.org/10.1186/s13059-019-1842-9 ,Dataset1.2,simulated,101.0,30000000.0,TrinityFusion-UC,0.76,0.99,0.86,simulated,1.2,False,False,True
6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.1,real,50.0,28000000.0,TRUP,0.0,0.0,0.0,real,6.1,True,True,False
6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.2,real,50.0,28000000.0,TRUP,0.0,0.0,0.0,real,6.2,True,True,False
6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.3,real,50.0,12000000.0,TRUP,0.0,0.0,0.0,real,6.3,False,True,False
6,https://doi.org/10.1186/s12864-018-5156-1,Dataset6.4,real,101.0,25000000.0,TRUP,0.65,0.1,0.17,real,6.4,False,True,False
9,https://doi.org/10.1101%2Fgr.186114.114,Dataset9,real,,,TRUP,0.1,1.0,0.181818182,real,9,False,True,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.4,real,,,Arriba,0.98,,,real,2.4,False,True,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.5,real,,,Arriba,1.0,,,real,2.5,False,True,False
3,doi: 10.1038/srep21597,Dataset3.2,simulated,75.0,8500000.0,Bellerophontes,0.66,0.79,,simulated,3.2,False,False,True
3,doi: 10.1038/srep21597,Dataset3.1B,real,100.0,60000000.0,Bellerophontes,0.0,,,real,3.1B,False,True,False
3,doi: 10.1038/srep21597,Dataset3.2,simulated,75.0,8500000.0,BreakFusion,0.04,,,simulated,3.2,False,False,True
3,doi: 10.1038/srep21597,Dataset3.1B,real,100.0,60000000.0,BreakFusion,0.11,,,real,3.1B,False,True,False
3,doi: 10.1038/srep21597,Dataset3.2,simulated,75.0,8500000.0,ChimeraScan,0.08,,,simulated,3.2,False,False,True
3,doi: 10.1038/srep21597,Dataset3.1B,real,100.0,60000000.0,ChimeraScan,0.7,,,real,3.1B,False,True,False
5,DOI:10.1038/s41598-017-07070-6 ,Dataset5.2,real SE,76.0,14000000.0,ChimPipe,0.0,0.0,0.0,real se,5.2,False,True,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.4,real,,,deFuse,0.86,,,real,2.4,False,True,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.5,real,,,deFuse,0.22,,,real,2.5,False,True,False
3,doi: 10.1038/srep21597,Dataset3.2,simulated,75.0,8500000.0,EricScript,0.78,,,simulated,3.2,False,False,True
3,doi: 10.1038/srep21597,Dataset3.1B,real,100.0,60000000.0,EricScript,0.59,,,real,3.1B,False,True,False
3,doi: 10.1038/srep21597,Dataset3.2,simulated,75.0,8500000.0,FusionCatcher,0.66,,,simulated,3.2,False,False,True
3,doi: 10.1038/srep21597,Dataset3.1B,real,100.0,60000000.0,FusionCatcher,0.07,,,real,3.1B,False,True,False
10,https://doi.org/10.1186/s13073-015-0167-x,Dataset10,simulated,,,FusionCatcher,0.0,,,simulated,10,False,False,True
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.4,real,,,FusionCatcher,0.96,,,real,2.4,False,True,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.5,real,,,FusionCatcher,0.33,,,real,2.5,False,True,False
3,doi: 10.1038/srep21597,Dataset3.1B,real,100.0,60000000.0,FusionHunter,0.2,,,real,3.1B,False,True,False
3,doi: 10.1038/srep21597,Dataset3.2,simulated,75.0,8500000.0,FusionHunter,0.36,,,simulated,3.2,False,False,True
3,doi: 10.1038/srep21597,Dataset3.2,simulated,75.0,8500000.0,FusionMap,0.56,,,simulated,3.2,False,False,True
3,doi: 10.1038/srep21597,Dataset3.1B,real,100.0,60000000.0,FusionMap,0.0,,,real,3.1B,False,True,False
5,DOI:10.1038/s41598-017-07070-6 ,Dataset5.2,real SE,76.0,14000000.0,FusionMap,,0.02,0.0,real se,5.2,False,True,False
5,DOI:10.1038/s41598-017-07070-6 ,Dataset5.2,real SE,76.0,14000000.0,Gfusion,,0.18,0.0,real se,5.2,False,True,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.4,real,,,InFusion,0.88,,,real,2.4,False,True,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.5,real,,,InFusion,0.56,,,real,2.5,False,True,False
3,doi: 10.1038/srep21597,Dataset3.2,simulated,75.0,8500000.0,JAFFA,0.88,,,simulated,3.2,False,False,True
3,doi: 10.1038/srep21597,Dataset3.1B,real,100.0,60000000.0,JAFFA,0.02,,,real,3.1B,False,True,False
5,DOI:10.1038/s41598-017-07070-6 ,Dataset5.2,real SE,76.0,14000000.0,JAFFA,0.0,0.0,0.0,real se,5.2,False,True,False
4,https://doi.org/10.3389/fgene.2021.739054,Dataset4.1,real,,,JAFFA-Hybrid,0.65,,,real,4.1,False,True,False
3,doi: 10.1038/srep21597,Dataset3.1B,real,100.0,60000000.0,MapSplice,0.0,,,real,3.1B,False,True,False
3,doi: 10.1038/srep21597,Dataset3.2,simulated,75.0,8500000.0,MapSplice,0.86,,,simulated,3.2,False,False,True
3,doi: 10.1038/srep21597,Dataset3.1B,real,100.0,60000000.0,nFuse,0.0,,,real,3.1B,False,True,False
3,doi: 10.1038/srep21597,Dataset3.2,simulated,75.0,8500000.0,nFuse,0.3,,,simulated,3.2,False,False,True
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.4,real,,,PRADA,0.88,,,real,2.4,False,True,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.5,real,,,PRADA,0.0,,,real,2.5,False,True,False
4,https://doi.org/10.3389/fgene.2021.739054,Dataset4.1,real,,,SeekFusion,0.89,,,real,4.1,False,True,False
3,doi: 10.1038/srep21597,Dataset3.2,simulated,75.0,8500000.0,SOAPfuse,0.82,,,simulated,3.2,False,False,True
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.4,real,,,SOAPfuse,0.91,,,real,2.4,False,True,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.5,real,,,SOAPfuse,0.0,,,real,2.5,False,True,False
3,doi: 10.1038/srep21597,Dataset3.1B,real,100.0,60000000.0,SOAPfuse,0.0,,,real,3.1B,False,True,False
4,https://doi.org/10.3389/fgene.2021.739054,Dataset4.1,real,,,STAR-Fusion,0.69,,,real,4.1,False,True,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.4,real,,,STAR-Fusion,0.88,,,real,2.4,False,True,False
2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.5,real,,,STAR-Fusion,0.44,,,real,2.5,False,True,False
3,doi: 10.1038/srep21597,Dataset3.1B,real,100.0,60000000.0,TopHat-Fusion,0.0,,,real,3.1B,False,True,False
4,https://doi.org/10.3389/fgene.2021.739054,Dataset4.1,real,,,TopHat-Fusion,0.01,,,real,4.1,False,True,False
3,doi: 10.1038/srep21597,Dataset3.2,simulated,75.0,8500000.0,TopHat-Fusion,0.52,,,simulated,3.2,False,False,True
5,DOI:10.1038/s41598-017-07070-6 ,Dataset5.2,real SE,76.0,14000000.0,TopHat-Fusion,,0.04,0.0,real se,5.2,False,True,False
